"","X1_jvm_pools_PS.Eden.Space_max_value","X1_jvm_pools_PS.Survivor.Space_committed_value","X2_jvm_heap_committed_value","driver_BlockManager_memory_memUsed_MB_value","driver_BlockManager_memory_remainingMem_MB_value","node5_NET_ib0.write.KB.s","node6_CPU031_User.","node6_NETPACKET_em1.write.s","node6_NET_ib0.write.KB.s","node7_NET_ib0.read.KB.s"
"1",2591031296,134742016,5589434368,354,80846,6810.5,3,1580.1,13605.3,10365.9
"2",2591031296,134742016,5589434368,373,80827,7151.3,7,3216.1,15037.8,10926.9
"3",2591031296,134742016,5603065856,388,80811,7446.5,5.1,3263.6,8600,4057
"4",2591031296,134742016,5603065856,396,80804,6821.4,3,1573.9,13602.1,10046.3
"5",2591031296,134742016,5603065856,411,80789,7138,3,1401.6,13588.3,7446.6
"6",2591031296,134742016,5603065856,426,80773,7136.6,3,1565.3,6810.8,6485.7
"7",2591031296,134742016,5603065856,434,80765,3587.7,18.2,1891.2,13957.7,13627.8
"8",2587885568,137363456,5603065856,316,80883,7880.3,5,3447.8,15246.5,14103.4
"9",2587885568,137363456,5603065856,332,80868,7193.5,3,1584.5,6800.9,3250.8
"10",2587885568,137363456,5603065856,339,80860,3577.6,4,1459.5,13604.4,7144.1
"11",2587885568,137363456,5603065856,354,80845,7148.5,3.9,1562.1,13593.3,10677.4
"12",2587885568,137363456,5603065856,374,80826,7185.9,11.2,3313.6,8496.5,3891.8
"13",2587885568,137363456,5603065856,316,80883,9629.8,5,4327,17457.1,10700.5
"14",2587885568,137363456,5603065856,331,80868,7555,3,1593.1,13610,11027.8
"15",2587885568,137363456,5563744256,347,80853,7155.8,4,1430.4,6800.8,7119.3
"16",2587885568,137363456,5563744256,354,80845,3576,3,1469.4,13603,10049.7
"17",2587885568,137363456,5563744256,373,80826,7179.9,6.1,2513.9,14778.2,7353
"18",2587885568,137363456,5563744256,324,80875,8289.4,5.1,2719.8,7607.3,4016.1
"19",2587885568,137363456,5563744256,332,80868,3593.7,3.9,1655.5,13591.4,10360.7
"20",2587885568,137363456,5563744256,347,80852,7144,3,1673.1,13603.4,10055
"21",2587885568,137363456,5563744256,362,80837,7152.8,3.9,1701.7,6818.4,3899.7
"22",2587885568,137363456,5563744256,373,80826,3589,4,2791.5,14620.7,7408.8
"23",2587885568,137363456,5563744256,317,80882,10064.1,4.1,3501.3,16221.8,10348.6
"24",2587885568,137363456,5563744256,332,80867,7802.3,2,1424.3,6794.4,6840
"25",2587885568,137363456,5563744256,340,80860,3571.7,3.9,1340.8,13599.6,13595.8
"26",2587885568,137363456,5563744256,355,80844,7148.7,3,1470.3,13613.1,13922.7
"27",2593128448,134217728,5603590144,374,80825,7170.8,8.1,2970.3,8308.1,4453.9
"28",2593128448,134217728,5603590144,317,80882,4288.9,5.9,2314.6,14406.5,14200.5
"29",2593128448,134217728,5603590144,333,80867,7173.4,4,1546.1,13609,7156.3
"30",2593128448,134217728,5603590144,348,80852,7158.2,3,1476.4,6808.3,6808
"31",2593128448,134217728,5603590144,355,80844,3579.5,3,1620.6,13613.1,13278.9
"32",2593128448,134217728,5603590144,374,80825,7197.4,18,3788.9,15218.2,10713.7
"33",2593128448,134217728,5603590144,325,80874,13440.4,7,3772.9,10749.1,4314.1
"34",2593128448,134217728,5602017280,333,80867,3588.1,2,1445.9,13600.5,7162.1
"35",2593128448,134217728,5602017280,348,80852,7162,3,1482.3,13584.5,7156.1
"36",2593128448,134217728,5602017280,363,80836,7156.6,3,1574.4,7116,3573
"37",2593128448,134217728,5602017280,374,80825,3594.8,30.3,3018.1,14763.8,14195.7
"38",2593128448,134217728,5602017280,317,80882,8088.3,3,2008.7,13946.5,7326.9
"39",2593128448,134217728,5602017280,332,80867,7156.4,3,1791.5,10361.7,6786.5
"40",2593128448,134217728,5602017280,340,80859,3586.6,3,1653.6,10047.6,6830.6
"41",2593128448,134217728,5602017280,355,80844,7159.1,3,1521.8,13624.6,10399.7
"42",2593652736,135790592,5602017280,373,80826,7178.8,8.2,3807.9,15407.7,7235.1
"43",2593652736,135790592,5602017280,316,80883,6788.9,4.9,2772,8293.4,14444.8
"44",2593652736,135790592,5602017280,331,80868,7164.4,3,1633.1,13592.9,7481.6
"45",2593652736,135790592,5602017280,346,80853,7164.7,3,1376.7,13604.2,3576.4
"46",2593652736,135790592,5602017280,354,80845,3591.7,2,1555.5,6807.5,6849.2
"47",2593652736,135790592,5601492992,373,80826,7169.6,6,3194.5,15318.2,11505.6
"48",2593652736,135790592,5601492992,324,80876,8219.5,4,2202.3,14037.5,4233.9
"49",2593652736,135790592,5601492992,331,80868,3812.8,3,1358.6,6798.9,7145.3
"50",2593652736,135790592,5601492992,346,80853,7159.9,3,1644.3,13624.5,10713.8
"51",2593652736,135790592,5601492992,362,80838,7156.9,4,1291,13604.5,7125.5
"52",2593652736,135790592,5601492992,373,80826,3625.3,8.1,4428.9,9181.8,14535.3
"53",2593652736,135790592,5601492992,316,80883,11203.8,4,3566,18177.9,11147.4
"54",2593652736,135790592,5601492992,331,80868,9407,3,1566.3,13573.6,3571
"55",2593652736,135790592,5601492992,339,80860,3571.8,2,1595.7,6782.1,10352.5
"56",2593128448,133693440,5601492992,354,80845,7138,4,1589.5,13571,6803.3
"57",2593128448,133693440,5602017280,372,80827,7147.7,6.1,2360.3,14809.9,4188.8
"58",2593128448,133693440,5602017280,316,80883,4562.7,6,2654.6,7901.1,10317.8
"59",2593128448,133693440,5602017280,332,80868,7166.7,3,1627.8,13597.5,7134.3
"60",2593128448,133693440,5602017280,347,80853,7131.1,3,1581.9,13562.6,6775
"61",2593128448,133693440,5602017280,354,80845,3569.6,2,1695.1,6806.8,6478.9
"62",2593128448,133693440,5602017280,373,80826,7138.6,6.9,4030,15635,14840.2
"63",2593128448,133693440,5602017280,389,80811,10858.4,3,2497.8,14722.4,7673.1
"64",2593128448,133693440,5602017280,396,80803,3568,3,1575.8,6796.5,9579.6
"65",2593128448,133693440,5602017280,412,80788,7123.9,3,1517.3,13590.8,13576.2
"66",2593128448,133693440,5602017280,427,80773,7137.8,3,1541.8,13598.4,10691.4
"67",2593128448,133693440,5586288640,438,80761,3926.4,21.8,3278,8737.2,4079.3
"68",2593128448,133693440,5586288640,316,80883,7743.8,5,2278.5,13781.1,10196.6
"69",2593128448,133693440,5586288640,331,80868,7132,2,1450.2,13582.8,7446.5
"70",2593128448,133693440,5586288640,339,80861,3890.3,2,1654.6,6793.5,3563.3
"71",2593128448,133693440,5586288640,354,80845,6813.2,2.9,1552.6,13600.9,10678.9
"72",2592079872,136314880,5586288640,372,80827,7245.3,9.1,3714.3,15457.6,11606.5
"73",2592079872,136314880,5586288640,316,80883,11478.6,5,3931.1,10552.1,7134.6
"74",2592079872,136314880,5586288640,332,80868,5733.2,3,1611.3,13626.6,10698.2
"75",2592079872,136314880,5586288640,347,80853,7119.4,3,1701.3,13583.3,7448.6
"76",2592079872,136314880,5586288640,354,80845,7139.6,3,1538.4,6805.5,3888.8
"77",2592079872,136314880,5595725824,373,80826,3613.2,8.2,3256.6,15514.6,8663.2
"78",2592079872,136314880,5595725824,324,80875,8240.4,4,1700.9,13702.7,13984.5
"79",2592079872,136314880,5595725824,332,80868,7129.4,3,1281.9,6801.9,3559.7
