"","CPU.usage..MHZ.","Memory.usage..KB.","Disk.write.throughput..KB.s.","Network.received.throughput..KB.s.","Network.transmitted.throughput..KB.s."
"2001",151,944557,14,1,11
"2002",151,966787,13,2,13
"2003",150,983564,13,1,11
"2004",178,882901,17,40,63
"2005",181,874512,14,41,40
"2006",173,1067450,15,32,31
"2007",151,955882,14,2,11
"2008",152,1020055,14,1,11
"2009",156,961334,13,2,11
"2010",159,1008730,16,12,46
"2011",162,1064934,12,1,11
"2012",153,1132043,14,2,11
"2013",154,810340,14,2,11
"2014",158,894226,14,12,46
"2015",151,801951,13,2,11
"2016",161,804887,18,12,46
"2017",152,911003,13,2,11
"2018",144,885837,14,2,11
"2019",157,1061998,70,2,49
"2020",148,1017538,13,2,11
"2021",149,891290,13,1,11
"2022",150,897162,15,2,11
"2023",160,972659,12,2,11
"2024",151,1081711,14,2,11
"2025",151,905550,14,2,11
"2026",158,1017119,14,12,45
"2027",151,964270,13,1,11
"2028",160,897162,16,12,46
"2029",151,981048,13,2,11
"2030",156,964270,15,162,19
"2031",149,981048,14,2,11
"2032",155,880384,15,12,45
"2033",151,947493,13,1,11
"2034",134,924844,16,2,11
"2035",138,1103941,13,2,11
"2036",134,1226834,14,1,11
"2037",141,924844,14,2,11
"2038",147,1045221,13,2,11
"2039",147,994889,13,1,11
"2040",151,888773,15,1,11
"2041",150,827117,12,1,11
"2042",151,1014602,14,2,11
"2043",156,969723,14,2,11
"2044",158,1033896,15,12,46
"2045",151,846830,14,2,11
"2046",152,863607,15,2,11
"2047",160,1095552,12,2,11
"2048",157,1179438,14,12,46
"2049",151,849347,14,2,11
"2050",150,843894,14,2,11
"2051",150,916455,13,2,11
"2052",151,930716,16,2,11
"2053",152,882901,13,2,11
"2054",153,1087164,15,2,18
"2055",152,1157208,15,2,11
"2056",157,1031379,14,12,46
"2057",149,930716,13,2,11
"2058",157,969723,16,12,46
"2059",158,1039768,12,1,11
"2060",159,1199152,14,12,46
"2061",150,880384,14,1,11
"2062",156,922327,14,12,45
"2063",150,972659,13,2,11
"2064",158,947493,15,12,46
"2065",151,913939,12,2,11
"2066",161,1017119,45,1,11
"2067",152,1042285,14,1,11
"2068",157,939105,14,12,45
"2069",149,888773,14,1,11
"2070",152,849347,16,2,11
"2071",161,1165597,12,2,13
"2072",157,1075839,15,12,46
"2073",152,857735,14,2,30
"2074",160,1048157,15,12,51
"2075",170,1092616,15,11,26
"2076",162,1101005,15,13,46
"2077",151,885837,12,1,11
"2078",162,966787,19,12,46
"2079",152,1000342,13,2,11
"2080",157,860671,14,12,48
"2081",150,824181,12,1,11
"2082",159,1073322,16,12,47
"2083",163,1117782,12,2,11
"2084",151,1078775,15,2,11
"2085",150,877448,14,2,11
"2086",156,899678,14,12,46
"2087",150,880384,12,2,11
"2088",153,863607,15,2,11
"2089",150,813276,12,2,11
"2090",157,922327,14,12,46
"2091",152,939105,14,2,11
"2092",152,830053,13,2,11
"2093",152,846830,12,2,11
"2094",161,1048157,15,12,46
"2095",159,1073322,12,1,11
"2096",157,1157208,13,12,49
"2097",151,924844,14,2,12
"2098",150,790626,14,1,11
"2099",149,860671,13,2,11
"2100",151,1008730,16,2,11
"2101",154,939105,13,2,18
"2102",156,1081711,15,12,46
"2103",152,958398,15,2,11
"2104",158,939105,15,12,49
"2105",150,983564,14,2,11
"2106",156,838441,16,12,46
"2107",157,1173986,13,2,11
"2108",149,1059062,14,2,11
"2109",151,871996,14,2,13
"2110",149,975176,14,2,11
"2111",171,964270,15,81,36
"2112",152,952946,16,2,11
"2113",154,913939,13,5,18
"2114",156,1173986,16,14,49
"2115",151,955882,14,2,11
"2116",150,835505,13,2,27
"2117",149,922327,12,2,15
"2118",156,838441,16,3,16
"2119",161,1232706,13,2,29
"2120",155,1165597,14,12,57
"2121",149,981048,15,1,11
"2122",156,1014602,14,12,46
"2123",152,838441,14,20,24
"2124",164,922327,17,15,52
"2125",155,880384,13,6,16
"2126",156,989436,18,5,17
"2127",183,1006214,16,112,34
"2128",174,1241095,14,10,35
"2129",156,1154272,14,2,12
"2130",167,1064934,16,16,51
"2131",162,1260388,12,5,12
"2132",152,1246547,16,12,46
"2133",152,905550,14,2,18
"2134",155,877448,13,12,46
"2135",150,835505,14,1,11
"2136",162,941621,16,12,51
"2137",153,913939,13,2,29
"2138",153,1059062,15,2,16
"2139",169,1000342,16,16,26
"2140",150,849347,12,25,22
"2141",148,877448,12,2,11
"2142",150,936169,17,2,19
"2143",158,1162661,13,2,15
"2144",148,1115265,14,2,17
"2145",150,855219,15,2,18
"2146",171,964270,15,20,56
"2147",146,1036832,13,1,11
"2148",173,930716,17,29,59
"2149",165,1115265,13,8,22
"2150",164,905550,17,14,19
