"Setting","Dataset","Method","Variable","RMSE","MAE","MASE","AVG_SELECTED_VARIABLES"
"fixed-split","pod_metrics","LASSO","adservice-cpu",0.819911784819598,0.282650056726297,2.03731690231659,NA
"fixed-split","pod_metrics","LASSO","cartservice-cpu",0.412040852406358,0.251843729626469,1.58010254645414,NA
"fixed-split","pod_metrics","LASSO","checkoutservice-cpu",0.655477577533777,0.350969700423808,1.4048429122166,NA
"fixed-split","pod_metrics","LASSO","currencyservice-cpu",1.03809288775261,0.452087318393843,3.45867899277761,NA
"fixed-split","pod_metrics","LASSO","emailservice-cpu",0.528147659289058,0.17011964758379,1.33816064387882,NA
"fixed-split","pod_metrics","LASSO","frontend-cpu",0.329545662339736,0.190785283836174,1.43570763986135,NA
"fixed-split","pod_metrics","LASSO","paymentservice-cpu",0.716693912425775,0.301924929349714,1.11178007268394,NA
"fixed-split","pod_metrics","LASSO","productcatalogservice-cpu",0.351898367997732,0.222003560506134,1.5771523837388,NA
"fixed-split","pod_metrics","LASSO","recommendationservice-cpu",0.355214377548992,0.202509426742683,1.44335555943538,NA
"fixed-split","pod_metrics","LASSO","redis-cart-cpu",0.58111783465362,0.161517373080016,1.42486170721604,NA
"fixed-split","pod_metrics","LASSO","shippingservice-cpu",0.725596053726088,0.290750118640878,1.55131038013329,NA
"fixed-split","pod_metrics","LASSO","adservice-mem",0.535870607409949,0.422606317924061,1.1901841071734,NA
"fixed-split","pod_metrics","LASSO","cartservice-mem",0.634368285439221,0.505303657039532,1.34307979863678,NA
"fixed-split","pod_metrics","LASSO","checkoutservice-mem",0.704284395179958,0.566078154371938,1.39313680697683,NA
"fixed-split","pod_metrics","LASSO","currencyservice-mem",0.677478751402218,0.52054841431682,1.28482358301517,NA
"fixed-split","pod_metrics","LASSO","emailservice-mem",0.479121096208927,0.377129708794095,1.15377959179955,NA
"fixed-split","pod_metrics","LASSO","frontend-mem",0.48215127201746,0.390493827193372,1.10825620885555,NA
"fixed-split","pod_metrics","LASSO","paymentservice-mem",0.580491806977534,0.460776022157217,1.23206486701288,NA
"fixed-split","pod_metrics","LASSO","productcatalogservice-mem",0.478637646332353,0.37999028923133,1.04304592979889,NA
"fixed-split","pod_metrics","LASSO","recommendationservice-mem",0.596060436492479,0.471779127487153,1.14508634467301,NA
"fixed-split","pod_metrics","LASSO","redis-cart-mem",0.465385775947555,0.371425984154833,0.904300666404201,NA
"fixed-split","pod_metrics","LASSO","shippingservice-mem",0.639377205819749,0.509736299325093,1.17331069369277,NA
"fixed-split","pod_metrics","LASSO","MEAN",0.581225647714579,0.356955861222966,1.42428810630689,9.68181818181818
"fixed-split","pod_metrics","ARMAr-LASSO","adservice-cpu",0.854758908015513,0.268816168779588,1.93760344722298,NA
"fixed-split","pod_metrics","ARMAr-LASSO","cartservice-cpu",0.33277238409456,0.180986858064798,1.13553669065765,NA
"fixed-split","pod_metrics","ARMAr-LASSO","checkoutservice-cpu",0.546230949823515,0.303486295804189,1.21477885726475,NA
"fixed-split","pod_metrics","ARMAr-LASSO","currencyservice-cpu",0.883336616068241,0.380077914042706,2.90777343984915,NA
"fixed-split","pod_metrics","ARMAr-LASSO","emailservice-cpu",0.538796867238439,0.153551293321033,1.20783401833521,NA
"fixed-split","pod_metrics","ARMAr-LASSO","frontend-cpu",0.272804595347495,0.14359994844026,1.08062602583338,NA
"fixed-split","pod_metrics","ARMAr-LASSO","paymentservice-cpu",0.656559607867804,0.294779011011409,1.08546661249148,NA
"fixed-split","pod_metrics","ARMAr-LASSO","productcatalogservice-cpu",0.280392734790565,0.153265655630544,1.08882620428209,NA
"fixed-split","pod_metrics","ARMAr-LASSO","recommendationservice-cpu",0.312273414985859,0.169899671544953,1.21093442125165,NA
"fixed-split","pod_metrics","ARMAr-LASSO","redis-cart-cpu",0.56852082070444,0.160905141012597,1.41946076481486,NA
"fixed-split","pod_metrics","ARMAr-LASSO","shippingservice-cpu",0.682536203624791,0.236445689596461,1.26156664810108,NA
"fixed-split","pod_metrics","ARMAr-LASSO","adservice-mem",0.54840526477583,0.427653347107836,1.20439803079025,NA
"fixed-split","pod_metrics","ARMAr-LASSO","cartservice-mem",0.650611127628578,0.517933997245302,1.37665080993653,NA
"fixed-split","pod_metrics","ARMAr-LASSO","checkoutservice-mem",0.632754276796192,0.506836441892106,1.24734101972275,NA
"fixed-split","pod_metrics","ARMAr-LASSO","currencyservice-mem",0.681457821114148,0.526577753558547,1.2997052674747,NA
"fixed-split","pod_metrics","ARMAr-LASSO","emailservice-mem",0.477913520775119,0.376332304309011,1.15134003585938,NA
"fixed-split","pod_metrics","ARMAr-LASSO","frontend-mem",0.475331028500345,0.383835108664622,1.08935817349978,NA
"fixed-split","pod_metrics","ARMAr-LASSO","paymentservice-mem",0.571994347831909,0.45481654740158,1.21612988099105,NA
"fixed-split","pod_metrics","ARMAr-LASSO","productcatalogservice-mem",0.474423617455212,0.376387724027818,1.03315714821987,NA
"fixed-split","pod_metrics","ARMAr-LASSO","recommendationservice-mem",0.612722345086922,0.485448954406109,1.17826528631529,NA
"fixed-split","pod_metrics","ARMAr-LASSO","redis-cart-mem",0.467213377562544,0.373008461264951,0.908153480063713,NA
"fixed-split","pod_metrics","ARMAr-LASSO","shippingservice-mem",0.668794635283778,0.536502037361893,1.23492005269808,NA
"fixed-split","pod_metrics","ARMAr-LASSO","MEAN",0.554118384789627,0.336870287476741,1.29499210525799,7.63636363636364
