"Setting","Dataset","Method","Variable","RMSE","MAE","MASE","AVG_SELECTED_VARIABLES"
"fixed-split","pod_metrics","TiDE","adservice-cpu",1.54086949663301,0.681183078252991,4.9073528378527,NA
"fixed-split","pod_metrics","TiDE","cartservice-cpu",0.850287399616686,0.510458869603586,3.20102309656106,NA
"fixed-split","pod_metrics","TiDE","checkoutservice-cpu",1.24154828312081,0.822421494104006,3.29023194421779,NA
"fixed-split","pod_metrics","TiDE","currencyservice-cpu",1.81536226600581,0.780500822994632,5.96808801644628,NA
"fixed-split","pod_metrics","TiDE","emailservice-cpu",0.858722989167168,0.451990107735254,3.55350254747661,NA
"fixed-split","pod_metrics","TiDE","frontend-cpu",0.738899177178075,0.422442633467719,3.17733350862559,NA
"fixed-split","pod_metrics","TiDE","paymentservice-cpu",1.09602608319075,0.676119711681042,2.48838418497445,NA
"fixed-split","pod_metrics","TiDE","productcatalogservice-cpu",0.85381620598655,0.496259347492557,3.52367901304658,NA
"fixed-split","pod_metrics","TiDE","recommendationservice-cpu",0.90913252528093,0.55974970413248,3.9874557854039,NA
"fixed-split","pod_metrics","TiDE","redis-cart-cpu",0.712389120912571,0.344057576384464,3.03360143356276,NA
"fixed-split","pod_metrics","TiDE","shippingservice-cpu",1.39930513410598,0.705496494202008,3.76224939039092,NA
"fixed-split","pod_metrics","TiDE","adservice-mem",1.49745689517426,1.04080932956792,2.92970073801423,NA
"fixed-split","pod_metrics","TiDE","cartservice-mem",1.6876032267801,1.18132827322769,3.13829595068405,NA
"fixed-split","pod_metrics","TiDE","checkoutservice-mem",1.58833002568573,1.17065628866437,2.87952395894726,NA
"fixed-split","pod_metrics","TiDE","currencyservice-mem",1.45630605824675,1.04869272000831,2.58704836216751,NA
"fixed-split","pod_metrics","TiDE","emailservice-mem",0.86471259997559,0.660811494611364,2.02061521360133,NA
"fixed-split","pod_metrics","TiDE","frontend-mem",1.52363394510239,1.04435194684378,2.96242117503863,NA
"fixed-split","pod_metrics","TiDE","paymentservice-mem",1.11626909800068,0.855363247139522,2.28595781062449,NA
"fixed-split","pod_metrics","TiDE","productcatalogservice-mem",1.48707790051465,0.944726734428484,2.59185715509668,NA
"fixed-split","pod_metrics","TiDE","recommendationservice-mem",1.35144154930396,0.872591620026066,2.11682264795666,NA
"fixed-split","pod_metrics","TiDE","redis-cart-mem",1.47633271712456,0.962339407935627,2.34176203775233,NA
"fixed-split","pod_metrics","TiDE","shippingservice-mem",2.52613113763101,1.63571975379175,3.76313924389874,NA
"fixed-split","pod_metrics","TiDE","MEAN",1.29962062885173,0.812185029831619,3.20500209328821,NA
"fixed-split","pod_metrics","Transformer","adservice-cpu",2.41653174693552,0.875524872959099,6.30742249344418,NA
"fixed-split","pod_metrics","Transformer","cartservice-cpu",0.826192811166638,0.485116477560682,3.04210415699118,NA
"fixed-split","pod_metrics","Transformer","checkoutservice-cpu",1.52892901356685,1.02332584687398,4.09398272645668,NA
"fixed-split","pod_metrics","Transformer","currencyservice-cpu",4.7320152940137,1.65904683060038,12.6858770890718,NA
"fixed-split","pod_metrics","Transformer","emailservice-cpu",1.14544299070762,0.633880926655343,4.98351058821393,NA
"fixed-split","pod_metrics","Transformer","frontend-cpu",0.667441081338856,0.412531224220003,3.10278645720239,NA
"fixed-split","pod_metrics","Transformer","paymentservice-cpu",1.43059637383504,0.715086805014822,2.63179828326352,NA
"fixed-split","pod_metrics","Transformer","productcatalogservice-cpu",0.72047563500651,0.408249449244179,2.89876658980436,NA
"fixed-split","pod_metrics","Transformer","recommendationservice-cpu",1.1491764101134,0.791134806005601,5.63576011912424,NA
"fixed-split","pod_metrics","Transformer","redis-cart-cpu",1.2128228410405,0.598113089183855,5.27364269622497,NA
"fixed-split","pod_metrics","Transformer","shippingservice-cpu",1.47711289916586,0.707612963144705,3.77353602902751,NA
"fixed-split","pod_metrics","Transformer","adservice-mem",1.19461652712698,0.898353344876817,2.52871143898737,NA
"fixed-split","pod_metrics","Transformer","cartservice-mem",2.43893783795551,1.80763460614365,4.8021303589706,NA
"fixed-split","pod_metrics","Transformer","checkoutservice-mem",1.89293052509494,1.38599717908781,3.40920911019076,NA
"fixed-split","pod_metrics","Transformer","currencyservice-mem",1.87159963948465,1.35988693683597,3.35474177092276,NA
"fixed-split","pod_metrics","Transformer","emailservice-mem",1.15184342673275,0.854408173475426,2.61259098552018,NA
"fixed-split","pod_metrics","Transformer","frontend-mem",1.63896139642746,1.15764506224907,3.28378977599448,NA
"fixed-split","pod_metrics","Transformer","paymentservice-mem",2.03674436554513,1.48264450048853,3.96236661746394,NA
"fixed-split","pod_metrics","Transformer","productcatalogservice-mem",1.39225775437168,1.04934614811166,2.87888044557314,NA
"fixed-split","pod_metrics","Transformer","recommendationservice-mem",1.84305638358624,1.35982125734355,3.29879449751275,NA
"fixed-split","pod_metrics","Transformer","redis-cart-mem",0.859023654922983,0.683200249125836,1.66250326484898,NA
"fixed-split","pod_metrics","Transformer","shippingservice-mem",2.16146686313112,1.62187830632715,3.73129558973631,NA
